constituency,Donations and other support (including loans) for activities as an MP_sum,Employment and earnings_sum,Employment and earnings - Ad hoc payments_sum,Employment and earnings - Ongoing paid employment_sum,Gifts and benefits from sources outside the UK_sum,"Gifts, benefits and hospitality from UK sources_sum",Land and property (within or outside the UK)_sum,Miscellaneous_sum,Shareholdings_sum,Visits outside the UK_sum,Con_pc,IMD rank 2019,Income,Employment,"Education, skills and training",Health deprivation and disability,Crime,Barriers to housing and services,Living environment,sum_outside_payment
North West Leicestershire,26519.0,0.0,907.22,1449.42,0.0,1028.26,0.0,0.0,0.0,0.0,0.489647606,383,362,323,226,301,354,431,474,
North West Norfolk,5500.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.532841901,167,218,173,59,129,454,143,220,
Northampton North,37636.6,0.0,6477.81,0.0,0.0,1133.0,0.0,0.0,0.0,0.0,0.480661131,133,180,198,98,119,52,176,175,
Northampton South,28891.059999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493382253,295,324,325,245,214,205,149,478,
Norwich North,48733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.410376169,238,223,193,101,212,344,454,340,
Norwich South,67043.09,0.0,2400.0,0.0,0.0,1209.47,0.0,0.0,0.0,0.0,0.337343673,188,170,203,136,115,238,473,302,
Nottingham East,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322071296,49,74,114,68,55,67,177,51,
Nottingham North and Kimberley,2000.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.390129292,33,24,34,20,66,87,268,214,
Nottingham South,2000.0,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,0.344031748,107,132,179,72,60,234,166,149,
Nuneaton,18000.0,0.0,0.0,357.9,0.0,0.0,0.0,0.0,0.0,0.0,0.481494884,186,195,162,103,170,158,371,299,
Old Bexley and Sidcup,0.0,0.0,0.0,0.0,0.0,590.0,0.0,0.0,0.0,0.0,0.490711247,446,441,455,357,456,371,235,264,
Oldham East and Saddleworth,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472013774,75,85,94,63,107,35,512,152,
"Oldham West, Chadderton and Royton",2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398039706,40,37,45,37,70,18,511,125,
Orpington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495892252,351,314,334,380,465,273,95,368,
Ossett and Denby Dale,40500.0,0.0,0.0,2872.29,0.0,0.0,0.0,0.0,0.0,0.0,0.504446423,366,388,343,341,258,263,408,301,
Oxford East,0.0,0.0,2604.4300000000003,0.0,0.0,755.0,0.0,0.0,0.0,0.0,0.401724901,291,278,363,248,278,251,199,205,
Oxford West and Abingdon,29079.61,0.0,0.0,17637.0,0.0,716.9100000000001,0.0,0.0,0.0,0.0,0.416993685,490,524,528,473,490,474,238,222,
Peckham,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.464584702,77,39,128,388,177,43,24,54,
Pendle and Clitheroe,28250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466262236,152,187,153,148,148,307,525,23,
Penistone and Stocksbridge,52300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523494984,328,348,270,310,193,248,437,440,
Penrith and Solway,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.590390687,305,357,301,247,307,514,196,105,
Peterborough,72025.0,0.0,2645.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447476999,76,96,122,26,124,57,90,292,
Plymouth Moor View,107992.18,0.0,0.0,0.0,0.0,1389.95,0.0,0.0,0.0,0.0,0.441600652,110,122,81,73,68,277,295,294,
Plymouth Sutton and Devonport,8584.0,0.0,0.0,0.0,0.0,440.9,0.0,0.0,0.0,0.0,0.373877901,73,110,92,172,39,107,414,43,
"Pontefract, Castleford and Knottingley",108592.23999999999,0.0,925.44,0.0,0.0,3555.6,0.0,0.0,0.0,0.0,0.493400059,89,135,78,23,93,53,447,411,
Poole,16000.0,0.0,0.0,678.72,0.0,0.0,0.0,0.0,0.0,0.0,0.476773975,346,312,311,269,303,343,284,392,
Poplar and Limehouse,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252763109,165,100,266,329,245,187,51,129,
Portsmouth North,12000.0,0.0,2742.18,0.0,0.0,1780.0,0.0,0.0,0.0,0.0,0.420914393,164,238,276,127,207,129,285,15,
Portsmouth South,0.0,0.0,0.0,0.0,0.0,1780.0,0.0,0.0,0.0,0.0,0.368888477,118,171,256,154,152,22,267,14,
Preston,4430.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.440888427,58,81,99,96,33,41,500,46,
Putney,5150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.437377603,352,307,423,507,373,261,89,127,
Queen's Park and Maida Vale,6018.52,0.0,1564.88,4862.25,0.0,0.0,0.0,0.0,0.0,0.0,0.385294236,115,49,109,389,327,104,66,69,
Rawmarsh and Conisbrough,65940.29999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516029789,87,109,65,46,47,74,482,464,
Rayleigh and Wickford,22500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485912063,496,479,477,274,484,439,334,519,
Reading Central,15675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38787983,316,335,409,379,289,252,106,169,
Reading West and Mid Berkshire,20000.0,0.0,2762.23,0.0,0.0,3300.0,0.0,0.0,0.0,0.0,0.48147837,421,417,445,354,436,391,200,356,
Redcar,49000.0,0.0,2950.35,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.51909739,74,63,19,120,38,169,484,513,
Redditch,20500.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500900737,230,255,237,161,182,284,57,480,
Reigate,5000.0,0.0,0.0,1180.0,0.0,551.0,0.0,0.0,0.0,0.0,0.497660366,488,497,496,477,458,346,231,370,
Ribble Valley,5000.0,0.0,677.86,0.0,0.0,302.0,0.0,0.0,0.0,0.0,0.637014986,442,489,426,505,293,463,358,183,
Richmond Park,15800.0,0.0,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,0.444063722,504,483,511,532,530,320,354,145,
Richmond and Northallerton,4719.25,0.0,0.0,0.0,0.0,11496.0,0.0,0.0,0.0,0.0,0.577536084,434,475,464,316,443,530,125,288,
Rochdale,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384636315,29,28,27,77,36,14,322,229,
Rochester and Strood,37000.0,0.0,1335.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447079832,217,236,226,160,252,102,317,186,
Romford,27800.0,0.0,0.0,0.0,0.0,8123.6,0.0,0.0,0.0,0.0,0.511000887,341,323,369,235,405,207,216,284,
Romsey and Southampton North,22550.0,0.0,0.0,0.0,0.0,3520.0,0.0,0.0,0.0,0.0,0.494513741,407,468,485,427,404,356,116,170,
Rossendale and Darwen,15000.0,0.0,0.0,5436.92,0.0,0.0,0.0,0.0,0.0,0.0,0.523139428,157,176,135,205,127,203,451,148,
Rother Valley,30500.0,0.0,52070.0,0.0,0.0,1250.0,0.0,0.0,0.0,0.0,0.519525969,212,222,157,180,106,177,497,457,
Rotherham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44420932,36,40,25,22,24,59,495,312,
